ID;set;A_cost;A_payback;A_selfconsumption;A_backup;B_cost;B_payback;B_selfconsumption;B_backup;optout;Choice
43;5;5000;10;60;One socket;7000;10;90;One socket;No battery;2
43;6;7000;5;60;Full house;3000;15;60;Full house;No battery;2
43;7;1000;10;60;One socket;5000;15;30;Full house;No battery;0
43;8;5000;10;60;Full house;3000;10;30;Full house;No battery;0
44;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
44;2;3000;5;60;One socket;1000;15;90;Full house;No battery;1
44;3;7000;15;60;One socket;7000;10;30;Full house;No battery;2
44;4;1000;5;30;One socket;3000;10;90;One socket;No battery;1
44;5;5000;10;60;One socket;7000;10;90;One socket;No battery;1
44;6;7000;5;60;Full house;3000;15;60;Full house;No battery;0
44;7;1000;10;60;One socket;5000;15;30;Full house;No battery;0
44;8;5000;10;60;Full house;3000;10;30;Full house;No battery;0
45;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
45;2;3000;5;60;One socket;1000;15;90;Full house;No battery;1
45;3;7000;15;60;One socket;7000;10;30;Full house;No battery;1
45;4;1000;5;30;One socket;3000;10;90;One socket;No battery;2
45;5;5000;10;60;One socket;7000;10;90;One socket;No battery;2
45;6;7000;5;60;Full house;3000;15;60;Full house;No battery;1
45;7;1000;10;60;One socket;5000;15;30;Full house;No battery;2
45;8;5000;10;60;Full house;3000;10;30;Full house;No battery;0
46;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
46;2;3000;5;60;One socket;1000;15;90;Full house;No battery;1
46;3;7000;15;60;One socket;7000;10;30;Full house;No battery;2
46;4;1000;5;30;One socket;3000;10;90;One socket;No battery;1
46;5;5000;10;60;One socket;7000;10;90;One socket;No battery;2
46;6;7000;5;60;Full house;3000;15;60;Full house;No battery;0
46;7;1000;10;60;One socket;5000;15;30;Full house;No battery;2
46;8;5000;10;60;Full house;3000;10;30;Full house;No battery;0
47;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
47;2;3000;5;60;One socket;1000;15;90;Full house;No battery;1
47;3;7000;15;60;One socket;7000;10;30;Full house;No battery;1
47;4;1000;5;30;One socket;3000;10;90;One socket;No battery;1
47;5;5000;10;60;One socket;7000;10;90;One socket;No battery;1
47;6;7000;5;60;Full house;3000;15;60;Full house;No battery;1
47;7;1000;10;60;One socket;5000;15;30;Full house;No battery;0
47;8;5000;10;60;Full house;3000;10;30;Full house;No battery;0
48;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
48;2;3000;5;60;One socket;1000;15;90;Full house;No battery;2
48;3;7000;15;60;One socket;7000;10;30;Full house;No battery;2
48;4;1000;5;30;One socket;3000;10;90;One socket;No battery;0
48;5;5000;10;60;One socket;7000;10;90;One socket;No battery;2
48;6;7000;5;60;Full house;3000;15;60;Full house;No battery;2
48;7;1000;10;60;One socket;5000;15;30;Full house;No battery;2
48;8;5000;10;60;Full house;3000;10;30;Full house;No battery;1
49;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
49;2;3000;5;60;One socket;1000;15;90;Full house;No battery;0
49;3;7000;15;60;One socket;7000;10;30;Full house;No battery;2
49;4;1000;5;30;One socket;3000;10;90;One socket;No battery;0
49;5;5000;10;60;One socket;7000;10;90;One socket;No battery;1
49;6;7000;5;60;Full house;3000;15;60;Full house;No battery;0
49;7;1000;10;60;One socket;5000;15;30;Full house;No battery;0
49;8;5000;10;60;Full house;3000;10;30;Full house;No battery;0
50;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
50;2;3000;5;60;One socket;1000;15;90;Full house;No battery;0
50;3;7000;15;60;One socket;7000;10;30;Full house;No battery;2
50;4;1000;5;30;One socket;3000;10;90;One socket;No battery;1
50;5;5000;10;60;One socket;7000;10;90;One socket;No battery;1
50;6;7000;5;60;Full house;3000;15;60;Full house;No battery;0
50;7;1000;10;60;One socket;5000;15;30;Full house;No battery;2
50;8;5000;10;60;Full house;3000;10;30;Full house;No battery;0
51;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
51;2;3000;5;60;One socket;1000;15;90;Full house;No battery;1
51;3;7000;15;60;One socket;7000;10;30;Full house;No battery;0
51;4;1000;5;30;One socket;3000;10;90;One socket;No battery;1
51;5;5000;10;60;One socket;7000;10;90;One socket;No battery;1
51;6;7000;5;60;Full house;3000;15;60;Full house;No battery;0
51;7;1000;10;60;One socket;5000;15;30;Full house;No battery;0
51;8;5000;10;60;Full house;3000;10;30;Full house;No battery;0
52;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
52;2;3000;5;60;One socket;1000;15;90;Full house;No battery;1
52;3;7000;15;60;One socket;7000;10;30;Full house;No battery;0
52;4;1000;5;30;One socket;3000;10;90;One socket;No battery;1
52;5;5000;10;60;One socket;7000;10;90;One socket;No battery;1
52;6;7000;5;60;Full house;3000;15;60;Full house;No battery;0
52;7;1000;10;60;One socket;5000;15;30;Full house;No battery;0
52;8;5000;10;60;Full house;3000;10;30;Full house;No battery;0
53;1;1000;10;60;Full house;5000;5;90;Full house;No battery;0
53;2;3000;5;60;One socket;1000;15;90;Full house;No battery;0
53;3;7000;15;60;One socket;7000;10;30;Full house;No battery;0
53;4;1000;5;30;One socket;3000;10;90;One socket;No battery;1
53;5;5000;10;60;One socket;7000;10;90;One socket;No battery;1
53;6;7000;5;60;Full house;3000;15;60;Full house;No battery;0
53;7;1000;10;60;One socket;5000;15;30;Full house;No battery;0
53;8;5000;10;60;Full house;3000;10;30;Full house;No battery;0
54;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
54;2;3000;5;60;One socket;1000;15;90;Full house;No battery;0
